"","cat.1_vial.1","cat.2_vial.1","cat.3_vial.1","cat.4_vial.1","cat.5_vial.1","cat.6_vial.1","cat.7_vial.1","cat.8_vial.1","cat.1_vial.2","cat.2_vial.2","cat.3_vial.2","cat.4_vial.2","cat.5_vial.2","cat.6_vial.2","cat.7_vial.2","cat.8_vial.2","cat.1_vial.3","cat.2_vial.3","cat.3_vial.3","cat.4_vial.3","cat.5_vial.3","cat.6_vial.3","cat.7_vial.3","cat.8_vial.3"
"met285",0.969,0.9333,2.45,0.8198,1.6088,0.7891,3.6827,0.8195,1.0124,1.072,2.7486,0.9876,1.4675,0.8395,3.6371,0.7687,0.9458,0.9811,2.2958,0.957,1.6486,0.7635,3.9752,0.9101
"met286",0.566,0.9344,1.2705,0.9275,0.566,0.5906,1.3507,0.9251,0.9704,0.9943,1.1995,1.1412,0.7006,0.9019,1.1682,1.0186,1.2204,0.9925,1.1555,1.1688,0.566,0.6836,0.9986,1.0014
"met287",1.072,1.1213,0.9651,1.1177,0.7332,0.3438,1.0178,0.986,1.1882,1.0852,0.9995,1.2953,0.6815,0.4763,0.9871,0.9137,1.6733,1.1758,1.0428,1.1319,0.6495,0.5366,0.7254,0.9079
"met288",0.9274,1.0979,1.1407,1.2328,1.0918,0.5367,1.2682,0.9916,0.9775,1.0387,1.3106,1.4652,0.9905,0.6331,1.1219,0.9001,1.1879,1.0961,1.1761,1.372,1.0016,0.6712,0.9984,0.8943
"met289",0.8371,0.7439,0.9685,0.9508,1.0339,0.679,1.2044,1.142,0.7988,0.7321,1.0722,1.2162,0.9637,0.8026,1.006,1.0637,1.0987,0.6665,1.1184,1.39,0.994,0.799,0.8054,1.1471
"met290",0.912,1.3349,1.7128,1.3018,0.5707,0.6084,0.9477,1.2007,1.0103,1.4265,1.7133,1.6013,0.5745,0.5729,0.8765,0.9897,1.2746,1.2214,1.7078,1.4807,0.591,0.6625,0.6502,0.9701
"met291",1.1458,0.6731,0.7633,1.1689,0.938,1.1578,1.1176,1.2663,1.255,0.8439,0.7024,1.0107,1.1223,0.9159,0.8555,1.2125,1.0275,0.7608,0.7172,0.9952,0.7258,1.0048,1.0199,1.1835
"met292",0.6711,2.0432,1.3235,1.1096,0.6107,0.7277,1.3872,0.9079,0.8119,2.4191,1.3027,1.228,0.6053,0.837,1.3787,0.6751,1.0921,2.0113,1.1853,1.2162,0.7549,0.7596,1.34,0.9071
"met293",3.2573,2.665,1.2297,0.8574,0.3793,0.424,18.8604,0.6374,3.0335,3.1706,1.0903,0.5938,0.3718,0.5473,19.3916,0.7299,3.3105,3.1257,1.054,0.8087,0.3807,0.5123,21.0248,0.946
"met294",0.9082,1.3393,1.7224,1.4919,0.8268,0.5146,0.7202,1.1193,1.0071,1.2944,1.929,1.6127,0.8788,0.5721,0.6378,0.9761,1.1612,1.3571,1.8822,1.4901,0.8371,0.6358,0.6266,0.9929
