"","cat.1_vial.1","cat.2_vial.1","cat.3_vial.1","cat.4_vial.1","cat.5_vial.1","cat.6_vial.1","cat.7_vial.1","cat.8_vial.1","cat.1_vial.2","cat.2_vial.2","cat.3_vial.2","cat.4_vial.2","cat.5_vial.2","cat.6_vial.2","cat.7_vial.2","cat.8_vial.2","cat.1_vial.3","cat.2_vial.3","cat.3_vial.3","cat.4_vial.3","cat.5_vial.3","cat.6_vial.3","cat.7_vial.3","cat.8_vial.3"
"met355",1.9319,0.6567,0.4698,0.7413,1.2675,1.0977,1.2891,1.0714,3.0049,0.7791,0.4596,1.0548,1.1571,0.8441,1.171,1.759,2.0414,0.9452,0.5753,0.717,1.32,0.7293,1.433,1.1975
"met356",0.8293,1.1048,1.3266,1.2335,1.6137,0.7533,0.5176,1.3138,0.8953,1.2781,1.1708,1.3133,1.3214,0.7867,0.5468,1.2426,0.8142,1.4112,1.2186,1.2702,1.1998,0.8075,0.5117,1.3489
"met357",0.9012,0.8108,0.8648,1.8451,0.9739,1.1235,1.1285,0.8332,1.5341,0.6431,1.0602,2.1389,1.1269,1.5082,1.0262,0.6861,1.292,0.8125,0.9053,1.3191,1.0332,1.3656,1.1032,0.6976
"met358",1.346,0.3001,0.2365,0.9671,0.3032,0.601,1.0329,9.2681,1.9619,0.4504,0.7101,2.9951,2.7089,0.5817,1.7838,4.6807,1.6437,0.785,0.3894,3.5936,2.4094,0.5726,1.2727,6.1467
"met359",0.5826,0.946,0.9547,1.2623,1.1541,0.9787,1.2617,0.6709,0.4504,0.8856,1.0694,1.0213,0.9464,0.7232,1.4887,0.6259,0.8237,1.1219,1.2136,0.723,0.9076,1.4317,1.912,0.9667
"met360",0.5975,0.8354,0.9316,0.8282,1.1028,1.1817,1.6946,1.1678,0.737,1.0251,1.057,0.8278,0.9772,0.9966,1.8379,1.0538,0.8884,0.9891,1.0294,0.8342,1.0656,1.2794,1.7915,1.6471
"met361",2.0513,0.987,1.0424,1.1773,1.2084,1.7009,0.9607,1.013,3.0411,1.5361,1.5811,1.7422,1.8628,2.9503,1.3735,1.4132,0.4775,0.4283,0.4109,0.5625,0.5034,0.6515,0.4985,0.3
"met362",1.3165,0.9526,1.0304,0.9408,0.7247,1.0643,0.9096,1.3333,1.0894,0.9632,1.0254,1.0527,0.7577,0.9751,1.025,1.2584,1.142,0.8602,0.9557,1.1218,0.6677,1.1136,0.9457,1.406
"met363",1.355,1.0756,0.8731,0.8565,0.781,1.6937,1.4839,0.8972,0.9328,0.9206,0.7867,0.7715,0.7337,1.5682,1.4097,0.7586,1.5265,1.1583,0.9452,1.0548,0.838,1.7803,1.5177,0.9073
"met364",2.466,1.0279,0.9722,0.864,1.0437,1.1827,1.3021,1.2653,4.2453,1.7543,1.8055,1.5754,1.5239,2.267,1.7241,1.9017,0.8987,0.6446,0.428,0.7132,0.4906,0.6657,0.8085,0.6996
"met365",1.2424,1.0411,1.009,0.7329,0.9073,0.9678,1.2233,0.8883,1.1763,1.0791,1.0055,0.7199,0.8994,1.039,1.2511,0.7759,1.1278,0.9745,0.9271,0.8166,0.9212,0.9945,1.1219,0.9641
"met366",1.2366,1.0635,1.032,1.0813,1.1845,1.2151,1.2675,0.968,1.5873,1.3636,1.2873,1.3772,1.4738,1.6598,1.6755,1.1178,0.6743,0.7923,0.6684,0.8416,0.8928,0.8527,0.9001,0.6959
"met367",1.24,0.9997,1.0127,0.8057,0.9935,1.074,1.3695,1.062,1.2388,0.9906,1.0003,0.8619,1.0888,1.2369,1.3697,1.0244,1.0504,0.9187,0.9108,0.8403,1.0106,1.1617,1.3018,0.9459
"met368",0.9637,0.9041,1.2054,0.8623,1.0069,1.1537,1.2198,1.0235,0.8957,0.9725,1.158,0.9232,0.9931,1.2663,1.1239,1.0125,0.8523,0.9177,1.0525,0.8671,0.874,1.0894,1.0864,1.037
"met369",0.89,0.856,1.0954,0.8651,0.8898,1.1831,1.0586,1.0646,1.0428,0.9667,1.1885,0.9378,1.029,1.4134,1.1038,1.0989,0.7579,0.8553,0.9888,0.8357,0.8297,1.1677,1.0335,0.8573
"met370",0.7254,1.0937,1.1416,1.0733,1.078,1.0156,1.6037,0.6409,0.6228,0.9844,1.0719,0.8392,0.905,0.9842,1.38,0.4484,0.8295,1.2011,1.2902,1.3097,1.3056,1.3156,1.5518,0.9003
"met371",1.0516,0.8351,1.0075,0.9696,0.9267,1.0471,1.1293,1.1314,1.002,0.8414,1.0281,0.977,0.9285,1.1206,1.1268,1.0843,1.1052,0.9304,1.0087,0.998,0.8617,1.1394,1.1427,1.0739
"met372",1.0178,1.1635,0.9349,1.0251,1.2582,0.8283,2.0288,0.8502,1.0393,1.065,0.8934,1.0712,1.2211,0.8102,1.9695,0.7287,1.1286,1.1745,0.9245,1.2187,1.3715,0.9596,2.0965,0.9822
"met373",0.9143,1.2992,1.0288,0.976,1.0334,1.0082,1.2066,0.9918,0.9571,1.2111,1.0607,0.9189,1.0475,1.0825,1.1766,0.9074,0.8437,1.2916,1.0402,0.9165,1.0232,0.9645,1.1078,0.9456
"met374",1.1342,1.1034,1.0798,1.0555,0.9645,1.0507,1.4753,1.4725,1.0034,1.1859,0.9698,0.865,0.9551,1.2017,1.2542,1.2201,0.837,0.9966,0.8593,0.9156,0.8868,0.9602,1.2657,1.3032
"met375",0.9533,0.9939,0.902,1.0171,1.0061,1.1053,1.3805,1.337,0.9791,0.946,0.816,0.9623,1.0349,1.1365,1.2643,1.2489,0.8556,1.0627,1.0857,1.0792,0.966,1.0754,1.2524,1.3437
"met376",0.8952,0.9444,1.1321,0.8996,1.0246,1.1518,1.0965,1.0739,0.9474,1.0607,1.1878,0.9862,1.0657,1.2655,1.0737,1.0996,0.7762,0.9264,0.9857,0.8749,0.888,1.095,1.0139,0.966
"met377",1.1611,0.7889,1.2072,1.6065,0.9987,1.1214,0.7489,0.872,1.1884,0.7228,1.2597,1.5229,1.0013,1.1563,0.7099,0.849,1.3174,0.7072,1.2784,1.6166,1.0175,1.2346,0.6518,0.8902
"met378",2.2607,0.3394,0.2449,2.3406,10.6794,0.9258,0.8898,11.3279,2.7055,0.4655,0.2167,6.5803,10.0548,0.8638,0.866,10.3391,2.1986,0.512,0.247,4.968,4.0889,0.7071,1.0277,12.1952
"met379",1.1049,1.1489,0.9171,0.8625,0.9007,0.9299,0.9132,1.1107,1.1752,1.1798,0.9955,0.8806,0.8025,0.9282,0.8244,0.9752,1.1596,1.1836,0.884,0.8621,0.9862,1.0045,0.9323,1.0934
"met380",0.4133,0.4397,0.9413,1.2458,1.4315,1.9969,0.4946,0.8513,1.426,0.9381,0.534,1.0069,1.4024,1.7033,0.4494,1.6953,0.8011,1.5561,1.5475,0.3309,0.167,1.0369,1.9054,0.7276
"met381",1.5802,0.9929,0.8833,0.8664,1.0349,1.0263,1.0448,1.0071,2.2621,1.3539,1.2252,1.467,1.3179,1.4179,1.368,1.3685,1.0109,0.7146,0.5254,0.7373,0.6838,0.7206,0.7847,0.649
"met382",1.1471,1.1009,0.9292,0.8191,1.0388,0.946,1.0897,0.933,1.0035,1.0405,0.824,0.8173,0.9826,0.9139,0.9965,0.8303,1.2428,1.1569,0.9093,0.9117,0.9475,1.0177,1.1058,0.9489
"met383",1.7873,0.4248,0.8487,0.5365,0.9926,1.2478,0.5836,1.3569,1.4389,0.3907,1.0002,0.8277,0.9998,1.3384,0.7129,1.3294,1.5694,0.3619,0.6534,0.8133,1.0993,1.3595,0.5315,1.5975
"met384",0.8898,0.8825,1.1567,0.8139,0.8452,1.1815,2.0583,1.1051,0.8385,0.8702,0.9116,1.1259,0.898,1.4259,1.9003,1.0348,1.0004,0.9996,1.3414,0.8511,0.6225,1.3276,1.9112,1.1032
"met385",0.098,0.0715,0.0715,0.0715,0.1528,0.0715,0.0715,0.1994,0.0715,0.0715,0.0715,0.0847,0.0715,0.0715,0.1374,0.1545,1.7438,0.9474,1.5932,2.0253,1.5445,1.4157,1.9504,5.1505
"met386",1.0933,0.8809,0.8061,0.9733,1.4278,1.3553,1.2698,1.2559,1.2395,1.0419,0.92,1.3119,1.3506,1.3533,1.2017,1.2809,0.7163,0.7192,0.6053,0.8236,0.939,0.9387,0.888,1.0062
"met387",1.1628,1.0348,0.8008,0.5519,1.3273,0.8689,0.9421,2.5887,1.0128,0.9975,0.7052,0.9594,1.2277,1.0025,0.7671,2.1546,0.9357,0.839,0.6707,0.737,0.8043,0.9852,1.0734,2.2324
"met388",1.45,1.338,1.1765,0.7538,1.047,0.8734,0.8195,1.0965,1.5463,1.4216,1.2517,0.9382,1.0923,0.9525,0.4834,1.1125,1.2515,1.1269,0.9531,0.6929,0.7951,0.662,0.8369,0.9431
"met389",1.0935,1.3387,1.6133,1.0023,0.9977,0.7828,0.8281,1.3552,1.2095,1.432,1.5532,1.0782,0.8109,0.7626,0.6844,1.0283,1.0538,1.2947,1.2849,1.0191,0.7698,0.7655,0.8758,1.1516
"met390",0.6188,1.5258,0.983,1.5132,1.3742,1.1624,0.641,1.6942,0.7997,1.6865,0.9203,1.5843,1.1216,1.1122,0.6156,1.233,0.5088,1.219,0.7386,1.1957,1.017,1.0187,0.8973,1.1728
"met391",0.4581,1.0023,1.6546,0.9977,0.6063,1.0519,1.8837,3.0729,0.301,0.9898,2.2862,1.1913,0.7587,1.1253,1.2238,0.7315,0.4406,1.2362,2.5239,1.3207,0.6316,1.062,1.702,1.0564
"met392",1.0992,1.1642,1.3783,1.0578,0.9106,0.8664,0.7152,1.1064,1.1291,1.264,1.3497,1.1684,0.8751,0.9014,0.7031,1.0957,0.9519,1.1215,1.2718,1.2331,0.8501,0.9771,0.7503,1.0229
"met393",1.0301,0.6516,0.6053,0.6952,1.855,1.2822,1.3522,1.2142,1.0938,0.5318,0.8295,0.5334,1.311,1.1492,1.067,0.9696,1.4324,0.459,0.9795,0.9318,1.1959,1.5259,1.0138,1.692
"met394",0.9964,1.0977,0.8746,1.1467,1.2782,1.0036,1.2253,0.8545,0.9669,1.062,0.8546,1.2231,1.2732,1.0456,1.1752,0.8098,0.9824,1.1024,0.8314,1.2084,1.2699,1.0448,1.1919,0.8242
"met395",0.9664,0.9664,0.9664,0.9664,0.9664,0.9664,0.9664,0.9664,0.9664,0.9664,0.9664,0.9664,0.9664,0.9664,1,0.9664,0.9664,0.9664,0.9664,0.9664,0.9664,0.9664,0.9664,0.9664
"met396",0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,0.7851,1,0.7851
"met397",0.7489,1.2467,1.5345,1.5948,1.0617,0.4636,0.8295,1.0746,0.7413,1.157,1.7124,1.8576,1.131,0.5403,0.7376,0.9396,0.9908,1.2305,1.6241,1.6511,1.0938,0.6554,0.6246,0.9863
"met398",0.8444,1.1538,1.5007,1.2754,1.2241,0.5396,0.8452,0.9684,0.9075,1.1703,1.8011,1.4963,1.2877,0.6235,0.714,0.8895,1.1229,1.1806,1.7336,1.2765,1.2482,0.6486,0.6288,0.8771
"met399",0.7883,1.0269,1.0914,1,1.119,0.4589,0.864,0.8707,0.8986,1.092,1.2524,1.1394,1.1925,0.5271,0.7567,0.8115,1.2074,1.0423,1.1425,1.1374,1.0303,0.5695,0.4589,0.7281
"met400",0.7079,1.1108,1.3047,1.3044,1.1442,0.6768,0.732,0.9326,0.7152,1.0438,1.4977,1.4578,1.0507,0.7246,0.6768,0.8607,0.8595,1.0751,1.4905,1.4994,1.1206,0.8087,0.5611,0.8109
"met401",0.5652,1.0444,1.6048,1.6141,0.865,0.5633,0.7417,1.0345,0.6281,1.1434,1.7031,1.7462,0.9718,0.733,0.6593,1.0484,0.7319,1.2259,1.7972,1.5464,0.8691,0.6173,0.616,0.9542
"met402",1.9934,1.0382,0.9606,1.1987,1.934,1.3663,0.8149,1.2366,2.4854,1.5384,1.35,2.3928,2.3772,1.7165,0.9211,1.4773,0.6341,0.645,0.545,0.865,0.7081,0.8544,0.5305,0.592
"met403",1.8494,0.6424,1.2587,1.7714,1.4977,1.0056,0.7804,1.4446,3.7503,1.2454,2.4546,3.599,2.165,1.7144,1.1221,1.9306,0.3971,0.2628,0.13,0.5362,0.3984,0.4624,0.2455,0.3773
"met404",1.4753,0.5865,1.1409,1.7761,1,1.3077,0.6801,0.8398,1.736,0.7069,1.3024,1.6769,0.947,1.3425,0.581,0.8604,1.6618,0.6556,1.0141,1.7126,0.9887,1.1853,0.6494,0.8652
"met405",0.641,0.9471,0.7374,0.8791,0.6078,1.2663,2.4666,1.6342,0.6078,0.7907,0.6078,0.6598,0.6078,1.4753,2.6293,1.8061,0.6078,0.6078,0.7388,1,0.7972,1.5779,1.919,1.7386
"met406",1.2976,0.7252,0.5821,0.5792,1.2969,1.8797,1.4559,1.0055,1.2115,0.6764,0.4106,0.9945,1.0781,1.8658,1.546,0.9203,1.2827,0.6399,0.4399,0.8982,1.0453,1.8999,1.4122,0.9836
"met407",1.094,0.7476,0.8729,0.9481,1.3187,1.0608,0.7368,1.0274,1.135,0.8363,0.8462,1.3221,1.0037,1.1153,0.8189,1.054,0.9963,0.8781,0.7396,1.543,1.388,1.1365,0.7981,1.1708
"met408",1.1323,0.804,0.6568,0.6146,1.1196,1.669,1.6402,0.9054,1.2084,0.9144,0.8053,0.6754,1.0604,1.5864,1.4434,0.6716,1.0061,0.8352,0.6449,0.6371,0.9939,1.625,1.7809,0.8536
"met409",0.7526,0.0891,0.6155,1.1034,2.4115,1.3407,1.9128,9.5595,0.6414,0.1812,0.6012,6.0568,1.73,1.5505,1.6591,9.1455,0.4861,0.1678,0.4441,2.9155,1.1678,0.903,0.7006,5.9215
"met410",1.8094,0.6957,0.5707,0.7847,0.4898,0.9363,1.4664,1.0691,2.3534,0.7796,0.7357,1.0971,0.4643,1.0138,0.9641,0.9863,1.1397,0.8844,0.4198,0.4879,0.8934,1.2218,1.1393,1.021
"met411",1.299,1.6756,0.9335,0.9524,0.7771,0.7286,1.0432,0.9663,1.0441,2.3184,0.9462,1.0734,0.5986,0.7317,1.2269,1.2653,1.0655,2.1465,0.8518,1.0667,0.9777,0.7131,1.3601,1.0223
"met412",1.5033,0.845,0.4833,0.8031,0.4387,1.1059,0.9672,1.452,1.4135,0.9572,0.7772,0.4387,0.4681,1.0328,0.8306,1.2324,1.1201,0.7304,0.5074,0.6623,0.4387,1.0921,0.6857,1.0349
"met413",0.7351,0.9344,0.8952,0.7849,0.9358,0.9613,1.887,1.156,0.5462,0.9684,0.9727,0.8255,0.8154,1.1527,1.3852,0.9511,0.9208,1.0512,1,0.5462,1.0496,1.0276,1.389,1.2778
"met414",0.9917,0.711,1.2388,1.1066,0.9403,0.9437,1.1927,0.9423,0.9968,0.8174,1.2136,1.1947,0.7269,1.0032,1.3131,1.1707,0.9494,0.6905,1.1353,1.3711,0.8985,0.909,1.4225,1.1156
"met415",1.9754,0.8503,1.0116,0.8755,1.6643,1.1314,1.4142,0.9702,2.0899,0.8715,0.9225,0.9884,1.5919,1.2157,1.4815,0.9403,2.0448,0.9105,0.9701,0.8966,1.5168,1.129,1.4922,0.9563
"met416",1.2238,0.1806,0.204,1,2.8178,6.0053,0.0977,0.4317,1.1892,0.1746,0.2058,1.759,2.3424,5.2678,0.0977,0.4458,1.3646,0.4049,0.0977,1.6455,1.9931,7.2388,0.0977,0.4155
"met417",1.0601,0.9632,1.0102,0.8293,1.1026,0.9988,1.1659,0.8445,1.0437,0.9865,0.9743,0.9117,1.0286,1.0733,1.1463,0.8311,1.156,1.1266,0.9536,0.8762,0.9775,1.0286,1.1298,0.9075
"met418",1.5994,0.961,1.4586,1.0943,0.933,0.8363,0.7866,0.8614,1.6566,1.0992,1.4426,1.2863,0.8996,0.9616,0.6802,0.6336,1.6046,1.0366,1.1491,1.2646,0.9634,1.147,0.6596,0.6886
"met419",0.5911,0.9731,0.7233,1.0405,0.847,1.1919,1.9407,1.0012,0.7322,1.0073,0.8439,0.9988,0.8969,1.3374,1.4739,0.8808,0.6196,1.2589,0.7722,1.0443,1.014,1.5333,1.9079,0.9643
"met420",0.8741,1.1756,0.7404,1.1988,1.0175,0.9376,2.002,0.9798,0.7639,1.1419,0.7516,1.2724,1.0339,1.1029,1.9472,0.9118,0.8097,1.1656,0.7541,1.3553,0.9825,0.9616,1.9574,0.9645
"met421",0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515,0.4515
"met422",1.1366,0.4938,0.9744,0.4936,1.0834,0.9752,4.272,0.7498,0.8854,0.5305,0.7307,0.6305,1.0592,1.0882,4.0558,0.7585,1.2178,0.6163,0.8121,0.5568,1.125,0.8806,4.5106,1
"met423",1.0264,1.1837,1.0963,1.2069,1.3046,0.9203,0.8444,0.9833,1.0206,1.1723,1.0802,1.2598,1.3365,0.9532,0.8072,0.9388,1.0167,1.1735,0.9547,1.2641,1.2573,0.9414,0.8181,0.9509
"met424",2.3235,0.747,0.693,1.2011,1.0721,0.9556,1.7763,1.2777,2.3295,0.7335,0.5836,1.5786,0.9597,0.8502,1.6293,1.231,2.5109,0.9072,0.8635,1.4054,0.7798,1.0403,1.9737,1.3358
"met425",1.3076,0.9635,0.7876,0.7892,1.3364,1.619,1.0352,1.1309,1.2639,0.9547,0.6692,1.1133,1.174,1.6149,1.0128,1.0575,1.3022,0.9478,0.6901,0.9727,0.8599,1.5338,1.0676,1.148
"met426",0.7419,0.5086,1.2989,1.441,1.2477,0.9022,0.5021,0.9316,1.026,0.624,1.0677,1.483,1.17,0.9451,0.5134,1.2084,0.9491,0.5947,1.2387,1.1993,0.8382,0.9741,0.7306,0.7944
"met427",0.8879,0.6362,1.4382,1.4794,1.0095,1.9131,0.6481,0.9323,0.9423,0.6374,1.277,1.7614,1.0341,1.8388,0.6334,0.9905,0.983,0.7767,1.4749,1.4577,0.9183,1.8265,0.7655,0.879
"met428",2.1372,0.8288,0.8146,1.0282,1.519,1.7622,0.7853,0.863,2.1431,0.8825,0.8419,1.2159,1.2668,1.9584,0.8046,0.9228,1.8253,0.8452,0.7813,1.0993,1.3199,1.6617,0.7631,0.8395
"met429",0.9474,0.8112,1.0025,1.1122,1.1754,1.3757,0.6615,1.2693,0.9929,0.9631,0.9703,1.2722,0.8847,1.3633,0.7725,1.507,0.9995,0.9024,0.9018,1.3688,0.9592,1.2896,0.7305,1.3786
"met430",3.2162,0.7844,0.9871,0.4945,3.2392,2.8461,0.5694,0.8442,3.1388,0.9482,1.061,0.6075,2.5737,2.925,0.647,0.9298,3.0145,0.8654,1.0129,0.5695,2.9042,2.7926,0.6485,0.9168
"met431",0.9926,0.8742,0.7902,1.2953,1.4532,1.0755,1.0074,2.5565,1.0821,0.8941,0.8215,1.2668,1.4115,1.2999,0.9047,2.4338,0.9163,0.8878,0.7941,1.0981,1.4797,1.224,0.9267,2.4044
"met432",2.9577,1.1372,1.3635,0.7037,3.2713,3.1548,0.4382,0.911,3.4928,1.0891,1.4051,0.6952,3.3824,3.3789,0.4149,0.8794,3.2639,1.233,1.4054,0.6137,3.365,3.5306,0.468,0.8174
"met433",1.9763,0.4804,0.9615,0.6592,2.896,1.9295,0.3774,0.5496,2.3914,0.2827,1.211,0.7347,2.8612,1.7951,0.2827,0.9745,2.618,0.8905,1,0.2827,2.705,1.7911,0.4228,0.8728
"met434",1.2019,0.945,0.9158,0.9868,1.4994,0.8855,0.6009,1.2523,1.0427,1.2335,0.947,1.2535,1.29,0.9088,0.6101,1.4053,1.1306,1.0132,0.842,1.1305,1.1225,0.8769,0.6286,1.3581
"met435",1.5214,0.267,0.3441,0.4013,6.5878,0.0761,0.0761,2.1245,1.0996,0.2005,0.2049,1.3573,5.4724,0.0761,0.0761,1.5809,1.6779,0.2199,0.3888,1.6964,0.9005,0.0761,0.0761,2.2456
"met436",0.6842,1.0222,1.1033,1.0022,1.1186,0.6631,1.0661,0.9422,0.6573,0.9425,1.0141,1.1259,0.9781,0.76,1.0202,0.9905,0.6983,1.0492,1.0945,1.07,0.9978,0.6786,0.9836,1.0334
"met437",0.8965,1.2738,1.2359,1.4135,1.4319,0.9461,0.7687,1.2217,0.9217,1.3038,1.1668,1.5705,1.2584,1.0539,0.8382,1.2299,0.8204,1.3102,1.1239,1.3713,1.3016,0.8187,0.8854,0.9304
"met438",1.3666,0.9071,0.7364,0.6795,0.8288,1.5256,0.4587,1.2488,1.5981,1.0929,0.6167,0.6368,0.9502,1.2578,0.8745,1.6108,1.3594,0.9861,0.672,1.0604,0.8643,1.256,1.0439,1.1913
"met439",0.8588,0.9758,1.164,0.937,1.0168,1.0215,1.0533,0.9971,0.8722,0.9999,1.1348,0.9891,1.0353,1.0308,1.0466,0.9719,0.8379,1.0001,1.0897,0.9714,0.9569,1.038,1.0778,0.971
"met440",1.0414,0.572,0.572,0.572,3.2226,1.1809,0.572,0.9791,0.8289,1.1246,0.572,0.995,2.1923,0.572,0.572,0.9504,1.5706,0.7649,0.572,0.572,1.4112,0.9813,0.572,1
"met441",1.0436,0.4588,1.0156,0.8836,1.5019,0.6965,0.9357,1.143,1.5141,0.7377,2.5675,1.3883,1.0857,0.9064,0.8002,1.6206,0.7438,0.5902,0.8118,0.3229,1.1452,0.9109,0.6606,1.0049
"met442",0.4458,1.3062,0.9954,0.974,1.1679,0.6206,1.1479,0.8921,0.4528,1.3533,1.0649,1.0517,1.0898,0.6379,0.8786,0.8424,0.4834,1.4275,1.0136,1.1142,1.1313,0.7958,0.9691,0.8699
"met443",0.9898,1.7966,1.4134,0.7949,1.6469,1.073,0.8704,0.9712,0.972,1.9896,1.3074,1.1872,1.3473,1.0405,0.9591,1.1156,0.9256,1.6956,1.1682,1.0336,1.2749,0.8472,0.9719,1.0102
"met444",0.9533,0.6013,1.0155,1.018,0.898,1.5114,0.9118,1.1908,1.0233,0.6295,0.8878,1.1223,0.8113,1.6206,1.047,1.2445,1.0236,0.6102,0.9421,1.1603,0.7011,1.4368,0.9845,1.2985
"met445",1.0753,0.8114,0.9953,1.1473,0.8496,1.1933,1.1997,0.8985,1.0434,0.7696,1.0047,1.1156,0.8797,1.253,1.1089,0.8316,1.0163,0.7854,0.9426,1.1638,0.9007,1.2782,1.1546,0.8664
"met446",1.3554,1.3199,0.6027,0.7897,0.9946,1.1687,1.1888,0.9521,1.3493,1.2537,0.5801,1.0239,1.0054,1.1953,1.1887,0.8566,1.5074,1.2599,0.5907,0.9506,0.9664,1.1122,1.1429,0.8465
"met447",0.7065,1.2258,1.4636,1.4035,0.9202,0.8255,1.1675,1.0069,0.7759,1.637,1.4788,1.4241,1.2846,1.2021,0.9161,0.6662,0.9732,1.656,1.3185,0.9931,0.937,0.8719,0.8202,0.9417
"met448",1.0161,1.6073,1.6171,0.9839,1.0408,0.7063,0.7114,1.8644,0.93,1.5801,1.5309,1.092,1.0333,0.6993,0.6742,1.6855,0.9707,1.5637,1.4663,1.0703,0.8795,0.6947,0.7292,1.8399
"met449",1.1542,0.886,0.9346,1.1158,0.7132,1.1439,0.9055,1.0292,1.033,0.9176,0.9588,0.9301,0.7238,1.1453,1.0868,1.1314,1.2981,0.9266,0.8298,1.1482,1.1184,0.8588,0.9077,1.2011
"met450",0.5553,1.0841,1.0997,0.5827,0.6087,0.8492,1.7273,0.7242,0.5279,1.1026,1.148,0.6889,0.6055,0.9787,1.4864,0.6286,0.6687,1.0536,1.1221,0.6776,0.594,1.0488,1.2858,0.6851
"met451",0.877,0.9511,1.127,0.988,1.0429,1.0934,1.0015,0.961,0.8645,0.9598,1.1352,0.9985,1.0515,1.1063,0.9699,0.9052,0.861,0.9678,1.0715,0.9825,1.0102,1.0995,1.0074,0.9204
"met452",0.6481,1.2048,0.8134,1.0789,1.0199,1.2472,0.4511,1.344,0.7493,1.4055,0.8508,1.1415,1.6385,1.1463,0.7663,2.0201,0.5586,0.9681,0.5899,1.1094,1.2091,0.9801,0.6163,0.7171
"met453",0.7868,1.2434,1.4416,1.1774,0.9546,0.6692,1.0145,1.1245,0.8558,1.2911,1.5827,1.266,0.946,0.7884,0.8348,0.9855,1.0941,1.2825,1.5284,1.1798,0.9062,0.862,0.7359,1.0534
"met454",0.87,1.213,1.4715,1.1453,0.6513,0.5815,1.0783,1.0433,0.7834,1.1001,1.6001,1.2994,0.5774,0.6949,0.936,1.0057,1.1641,0.9981,1.5805,1.2392,0.6302,0.7227,0.6781,1.0247
"met455",1.3711,0.6656,0.9881,0.8293,0.6904,0.72,0.9517,1.3436,1.8037,0.9723,0.7853,1.0734,0.6748,1.1267,1.1222,1.199,1.2934,0.7588,0.7778,0.6409,0.5745,0.8883,1.0119,1.1876
"met456",1.6777,0.5638,0.7549,0.8681,0.4594,0.6473,1.1416,1.3361,2.7979,0.8014,0.9591,1.3175,0.4488,1.0409,0.8284,1.1129,1.1596,0.8738,0.5497,0.4544,0.7142,1.042,0.9307,1.17
"met457",0.5032,1.1945,1.2251,0.6544,0.5925,0.9916,0.9387,1.0084,0.6474,1.1079,1.4865,0.9127,0.4993,0.9227,0.9448,1.0908,0.8872,1.2729,1.1869,0.7087,0.4603,1.1274,0.8282,1.0433
"met458",0.9831,1.0068,0.993,1.2654,1.5328,0.9932,0.8615,0.654,1.6084,1.185,0.9853,1.7672,1.3496,1.3326,0.9918,0.6411,1.0399,1.2207,0.9874,1.2118,1.4124,0.9308,0.8449,0.6599
"met459",1.2752,0.9535,0.9173,0.8627,1.2215,1.0805,0.7379,1.2563,1.0552,1.0658,0.857,0.9519,1.2565,1.3738,0.7614,1.0874,1.3164,0.9092,0.9552,0.8479,1.031,1.1655,0.7835,1.1426
"met460",1.158,1.1391,0.5467,0.971,1.1784,0.9436,0.7706,1.0667,1.1204,0.8026,0.8347,1.1569,1.1043,0.9962,0.5809,0.8864,1.3724,0.9426,0.8373,1.0038,1.2519,1.3903,0.593,0.9939
"met461",0.6297,0.9596,1.1346,0.7414,0.7338,0.9178,1.0807,1.1276,0.6423,1.0069,1.2133,0.8403,0.7205,1.0562,0.9931,1.0398,0.7858,0.9706,1.1636,0.7484,0.6984,1.1062,0.796,1.0776
"met462",0.3057,0.7326,1.7228,1.3564,0.52,1.0063,1.1662,0.5567,0.4645,1.0793,3.3007,1.8955,0.7775,1.5463,1.1618,0.9577,0.573,0.9937,3.0002,1.538,0.6782,1.7405,1.7552,1.7677
"met463",1.3645,0.9939,1.0788,1.0967,1.5646,0.917,1.0061,0.8964,1.211,1.0243,1.1188,1.4129,1.8086,1.0396,0.9033,0.7609,1.4653,0.9673,1.0801,0.8854,1.2292,0.9399,0.7006,0.7117
"met464",1.1876,0.9295,0.9292,1.2169,1.2478,1.2266,1.0581,0.8116,1.2136,0.9264,0.8833,1.2393,1.2551,1.2506,1.033,0.7958,1.2032,0.967,0.8736,1.2151,1.2269,1.2578,1.065,0.7841
"met465",2.4096,0.8171,0.5899,0.6965,1.2049,0.9879,1.3053,1.6033,2.6461,0.8634,0.5801,1.0544,1.1612,1.0122,1.2209,1.4528,2.3247,0.8831,0.5219,0.8533,1.0822,0.9591,1.3736,1.511
"met466",1.4387,0.7977,0.9036,0.9175,0.9864,0.9695,1.2511,1.1683,1.3952,1.0136,0.9816,0.8694,0.8981,1.0256,1.1138,1.097,1.1839,0.8454,0.8869,0.8904,1.1242,1.0989,1.2532,1.2712
"met467",2.4039,0.7806,0.6371,0.808,0.9085,1.0368,1.2383,1.131,2.4965,0.7426,0.6504,0.8868,0.9632,1.0779,1.2618,1.0755,2.3379,0.713,0.6784,0.9352,1.0652,0.9158,1.338,0.9068
